onset	duration	trial_type	response	response_time	stim_file
12.0	2.0	24.0	n/a	n/a	Carving_jack-o-lanterns/v_Carving_jack-o-lanterns_id_DW3E-1cq9K0_start_89.5_label_1.mp4
16.0	2.0	16.0	n/a	n/a	Brushing_teeth/v_Brushing_teeth_id__rjw31qvaJk_start_4.5_label_1.mp4
20.0	2.0	129.0	n/a	n/a	Rollerblading/v_Rollerblading_id_kUe-R-aWBGc_start_79.0_label_1.mp4
24.0	2.0	66.0	n/a	n/a	Hula_hoop/v_Hula_hoop_id_OjGkFK7x3uY_start_14.0_label_1.mp4
28.0	2.0	147.0	n/a	n/a	Spinning/v_Spinning_id_lBVp_RxodxM_start_6.0_label_1.mp4
36.0	2.0	3.0	n/a	n/a	Assembling_bicycle/v_Assembling_bicycle_id_kK49oS82ppY_start_115.0_label_1.mp4
40.0	2.0	1.0	n/a	n/a	Archery/v_Archery_id_O3eDO_75g-0_start_49.0_label_1.mp4
44.0	2.0	9.0	n/a	n/a	Beach_soccer/v_Beach_soccer_id_gjek0kI5wHI_start_38.0_label_1.mp4
48.0	2.0	31.0	n/a	n/a	Cricket/v_Cricket_id_l43HV6YiHW8_start_2.5_label_1.mp4
52.0	2.0	34.0	n/a	n/a	Decorating_the_Christmas_tree/v_Decorating_the_Christmas_tree_id_GL_Dkcutlho_start_17.5_label_1.mp4
60.0	2.0	174.0	n/a	n/a	Washing_hands/v_Washing_hands_id_kmTxOD7UNUo_start_112.5_label_1.mp4
64.0	2.0	39.0	n/a	n/a	Doing_fencing/v_Doing_fencing_id__OW0pLY9Q8E_start_17.0_label_1.mp4
68.0	2.0	74.0	n/a	n/a	Knitting/v_Knitting_id_B_nIxVBiokw_start_73.0_label_1.mp4
72.0	2.0	96.0	n/a	n/a	Playing_blackjack/v_Playing_blackjack_id_cjqDzYfBp34_start_122.0_label_1.mp4
76.0	2.0	53.0	n/a	n/a	Getting_a_piercing/v_Getting_a_piercing_id_OOS5yrlPvCo_start_2.0_label_1.mp4
84.0	2.0	44.0	n/a	n/a	Doing_step_aerobics/v_Doing_step_aerobics_id_Vfp2MLohCCM_start_42.5_label_1.mp4
88.0	2.0	157.0	n/a	n/a	Tango/v_Tango_id_F9pomNnBFJI_start_46.5_label_1.mp4
92.0	2.0	99.0	n/a	n/a	Playing_field_hockey/v_Playing_field_hockey_id_Bipya7rlUlQ_start_18.0_label_1.mp4
96.0	2.0	109.0	n/a	n/a	Playing_racquetball/v_Playing_racquetball_id_6ITf_vCsfdU_start_8.5_label_1.mp4
100.0	2.0	7.0	n/a	n/a	Bathing_dog/v_Bathing_dog_id_XLyGeacEU40_start_19.5_label_1.mp4
108.0	2.0	17.0	n/a	n/a	Building_sandcastles/v_Building_sandcastles_id_XxZi3wWp0vU_start_8.0_label_1.mp4
112.0	2.0	32.0	n/a	n/a	Croquet/v_Croquet_id_2wiHOexEWEo_start_9.0_label_1.mp4
116.0	2.0	160.0	n/a	n/a	Triple_jump/v_Triple_jump_id_xqJu-XY9mk4_start_5.5_label_1.mp4
120.0	2.0	91.0	n/a	n/a	Plataform_diving/v_Plataform_diving_id_oJkBR-Fv-H0_start_6.0_label_1.mp4
124.0	2.0	25.0	n/a	n/a	Cheerleading/v_Cheerleading_id_SPUSwgvapfw_start_43.5_label_1.mp4
132.0	2.0	18.0	n/a	n/a	Bullfighting/v_Bullfighting_id_s5yqs7cyQRw_start_133.0_label_1.mp4
136.0	2.0	48.0	n/a	n/a	Fixing_bicycle/v_Fixing_bicycle_id_EZvxA7qBBCU_start_49.0_label_1.mp4
140.0	2.0	65.0	n/a	n/a	Horseback_riding/v_Horseback_riding_id_-vta2lESQxU_start_8.0_label_1.mp4
144.0	2.0	22.0	n/a	n/a	Canoeing/v_Canoeing_id_59yhHwR4w8o_start_98.0_label_1.mp4
148.0	2.0	49.0	n/a	n/a	Fixing_the_roof/v_Fixing_the_roof_id_GpGx8CGdKvo_start_54.5_label_1.mp4
156.0	2.0	72.0	n/a	n/a	Kite_flying/v_Kite_flying_id_50pENyzhEUo_start_127.0_label_1.mp4
160.0	2.0	20.0	n/a	n/a	Calf_roping/v_Calf_roping_id__WDMfPSdaAI_start_4.0_label_1.mp4
164.0	2.0	101.0	n/a	n/a	Playing_guitarra/v_Playing_guitarra_id__x6-VK8zcVE_start_44.0_label_1.mp4
168.0	2.0	133.0	n/a	n/a	Scuba_diving/v_Scuba_diving_id_mYcSH2jRte4_start_14.0_label_1.mp4
172.0	2.0	23.0	n/a	n/a	Capoeira/v_Capoeira_id_0cG7QAfqv_g_start_102.0_label_1.mp4
180.0	2.0	15.0	n/a	n/a	Brushing_hair/v_Brushing_hair_id_HiXPKs92MoI_start_39.0_label_1.mp4
184.0	2.0	8.0	n/a	n/a	Baton_twirling/v_Baton_twirling_id_NKRr6ejhdwQ_start_27.0_label_1.mp4
188.0	2.0	71.0	n/a	n/a	Kayaking/v_Kayaking_id_j7crs7KHMYg_start_92.5_label_1.mp4
192.0	2.0	37.0	n/a	n/a	Dodgeball/v_Dodgeball_id_fcqUgko-JiQ_start_40.0_label_1.mp4
196.0	2.0	83.0	n/a	n/a	Mooping_floor/v_Mooping_floor_id_KOdZ92lYHI0_start_5.0_label_1.mp4
204.0	2.0	153.0	n/a	n/a	Swimming/v_Swimming_id_9y41PNrqB3c_start_114.0_label_1.mp4
208.0	2.0	4.0	n/a	n/a	BMX/v_BMX_id_W02FQyj--qw_start_7.5_label_1.mp4
212.0	2.0	5.0	n/a	n/a	Baking_cookies/v_Baking_cookies_id_tYGU2FYqr9c_start_144.5_label_1.mp4
216.0	2.0	137.0	n/a	n/a	Shoveling_snow/v_Shoveling_snow_id_VHIoy9toQ3U_start_26.0_label_1.mp4
220.0	2.0	167.0	n/a	n/a	Using_the_rowing_machine/v_Using_the_rowing_machine_id_xGTdVSCHuAc_start_36.0_label_1.mp4
228.0	2.0	6.0	n/a	n/a	Ballet/v_Ballet_id_Izlpce4Fkaw_start_35.5_label_1.mp4
232.0	2.0	29.0	n/a	n/a	Cleaning_sink/v_Cleaning_sink_id_YAs7jXQRMSc_start_2.5_label_1.mp4
236.0	2.0	50.0	n/a	n/a	Fun_sliding_down/v_Fun_sliding_down_id_v5uC2hbsKpo_start_53.0_label_1.mp4
240.0	2.0	152.0	n/a	n/a	Surfing/v_Surfing_id_2vln8UaAliM_start_84.5_label_1.mp4
244.0	2.0	100.0	n/a	n/a	Playing_flauta/v_Playing_flauta_id_CDMkzesuRcg_start_31.0_label_1.mp4
252.0	2.0	12.0	n/a	n/a	Blow-drying_hair/v_Blow-drying_hair_id_1QByJDlWxKA_start_139.5_label_1.mp4
256.0	2.0	135.0	n/a	n/a	Shaving/v_Shaving_id_Q4wBO2TZ_yY_start_106.0_label_1.mp4
260.0	2.0	56.0	n/a	n/a	Grooming_horse/v_Grooming_horse_id_RnzAhHIsHMM_start_76.5_label_1.mp4
264.0	2.0	79.0	n/a	n/a	Making_a_lemonade/v_Making_a_lemonade_id_MsI2u1u_X7E_start_43.0_label_1.mp4
268.0	2.0	146.0	n/a	n/a	Snowboarding/v_Snowboarding_id_0qPksz6nQVM_start_16.5_label_1.mp4
276.0	2.0	45.0	n/a	n/a	Drinking_coffee/v_Drinking_coffee_id_ybTJugFunnA_start_80.5_label_1.mp4
280.0	2.0	87.0	n/a	n/a	Painting_fence/v_Painting_fence_id_JbQBsvAfbzM_start_88.0_label_1.mp4
284.0	2.0	123.0	n/a	n/a	Putting_on_shoes/v_Putting_on_shoes_id_vZc0R7rj7n4_start_55.5_label_1.mp4
288.0	2.0	13.0	n/a	n/a	Braiding_hair/v_Braiding_hair_id_mpiyDyXCiCg_start_145.0_label_1.mp4
292.0	2.0	132.0	n/a	n/a	Sailing/v_Sailing_id_ajvzflEpcQk_start_142.5_label_1.mp4
